{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 60.0, 'test-acc': 0.8352681, 'test gap-rms-gender': 0.26150754, 'test gap-rms-race': 0.06567668, 'test bal-acc': 0.8044379}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.8189055, 'test gap-rms-gender': 0.0884706, 'test gap-rms-race': 0.057087876, 'test bal-acc': 0.81986654}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 60.0, 'test-acc': 0.8308458, 'test gap-rms-gender': 0.106843516, 'test gap-rms-race': 0.056284513, 'test bal-acc': 0.8225068}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 50.0, 'test-acc': 0.8515202, 'test gap-rms-gender': 0.055707727, 'test gap-rms-race': 0.045004364, 'test bal-acc': 0.78199077}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 50.0, 'test-acc': 0.8111664, 'test gap-rms-gender': 0.0034888296, 'test gap-rms-race': 0.026953263, 'test bal-acc': 0.6178153}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 60.0, 'test-acc': 0.8518519, 'test gap-rms-gender': 0.04103476, 'test gap-rms-race': 0.035006147, 'test bal-acc': 0.76091087}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 60.0, 'test-acc': 0.8410171, 'test gap-rms-gender': 0.22898087, 'test gap-rms-race': 0.0580309, 'test bal-acc': 0.79372764}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 60.0, 'test-acc': 0.8519624, 'test gap-rms-gender': 0.16209891, 'test gap-rms-race': 0.053920668, 'test bal-acc': 0.7779614}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.81017137, 'test gap-rms-gender': 0.08152478, 'test gap-rms-race': 0.036484428, 'test bal-acc': 0.79928005}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 60.0, 'test-acc': 0.78474295, 'test gap-rms-gender': 0.023348546, 'test gap-rms-race': 0.008752292, 'test bal-acc': 0.5580705}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 30.0, 'test-acc': 0.8106136, 'test gap-rms-gender': 0.0743394, 'test gap-rms-race': 0.044899177, 'test bal-acc': 0.81238246}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 50.0, 'test-acc': 0.8522941, 'test gap-rms-gender': 0.084284104, 'test gap-rms-race': 0.037614387, 'test bal-acc': 0.7499361}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 60.0, 'test-acc': 0.7976783, 'test gap-rms-gender': 0.0023123936, 'test gap-rms-race': 0.0052874805, 'test bal-acc': 0.58606255}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 30.0, 'test-acc': 0.8215589, 'test gap-rms-gender': 0.08439935, 'test gap-rms-race': 0.03868296, 'test bal-acc': 0.8030985}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.82929796, 'test gap-rms-gender': 0.09695584, 'test gap-rms-race': 0.047119055, 'test bal-acc': 0.80728495}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 50.0, 'test-acc': 0.81846327, 'test gap-rms-gender': 0.09023045, 'test gap-rms-race': 0.05758152, 'test bal-acc': 0.8205005}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 50.0, 'test-acc': 0.8276396, 'test gap-rms-gender': 0.024104778, 'test gap-rms-race': 0.0040209345, 'test bal-acc': 0.6569419}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 60.0, 'test-acc': 0.8156993, 'test gap-rms-gender': 0.12659046, 'test gap-rms-race': 0.07039252, 'test bal-acc': 0.82762635}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 30.0, 'test-acc': 0.8088447, 'test gap-rms-gender': 0.07533763, 'test gap-rms-race': 0.05021338, 'test bal-acc': 0.80380553}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 50.0, 'test-acc': 0.83814263, 'test gap-rms-gender': 0.22959752, 'test gap-rms-race': 0.06292748, 'test bal-acc': 0.79800236}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 50.0, 'test-acc': 0.85163075, 'test gap-rms-gender': 0.06547282, 'test gap-rms-race': 0.033052314, 'test bal-acc': 0.7865397}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.848314, 'test gap-rms-gender': 0.07331813, 'test gap-rms-race': 0.015608925, 'test bal-acc': 0.7357313}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 20.0, 'test-acc': 0.8131564, 'test gap-rms-gender': 0.07808786, 'test gap-rms-race': 0.043626778, 'test bal-acc': 0.81035805}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 30.0, 'test-acc': 0.8254284, 'test gap-rms-gender': 0.09032023, 'test gap-rms-race': 0.038091037, 'test bal-acc': 0.80148757}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 20.0, 'test-acc': 0.82642347, 'test gap-rms-gender': 0.18241228, 'test gap-rms-race': 0.06389898, 'test bal-acc': 0.8229809}
{'epsilon': 0.0001, 'lr': 0.0001, 'wlr': 5e-06, 'w_reg': 50.0, 'test-acc': 0.82775015, 'test gap-rms-gender': 0.10703946, 'test gap-rms-race': 0.05566463, 'test bal-acc': 0.82185084}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-06, 'w_reg': 30.0, 'test-acc': 0.8276396, 'test gap-rms-gender': 0.06633675, 'test gap-rms-race': 0.008074713, 'test bal-acc': 0.66033745}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.80464345, 'test gap-rms-gender': 0.07715113, 'test gap-rms-race': 0.03303575, 'test bal-acc': 0.8039627}
{'epsilon': 1e-05, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.8164732, 'test gap-rms-gender': 0.10293564, 'test gap-rms-race': 0.05880096, 'test bal-acc': 0.8244334}
