{'alpha': 0.5, 'beta': 0.1, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.7420674405749033, 'balanced accuracy': 0.7241938113053539, 'gap-rms-gender': 0.10681610595595699, 'gap-rms-race': 0.05096427885555816}
{'alpha': 0.0, 'beta': 10.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 3.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.3, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 3.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7568822553897181, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 1.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.8044223327805418, 'balanced accuracy': 0.6076495211949978, 'gap-rms-gender': 0.030476864759238224, 'gap-rms-race': 0.005677158390828241}
{'alpha': 0.0, 'beta': 3.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 100.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 10.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 3.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 100.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.01, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.7876174682144831, 'balanced accuracy': 0.7678663594598613, 'gap-rms-gender': 0.15818664682453107, 'gap-rms-race': 0.07629719445542374}
{'alpha': 0.0, 'beta': 3.0, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 100.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 30.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 1.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.01, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.32548369264787175, 'balanced accuracy': 0.5534852907006172, 'gap-rms-gender': 0.05278392386379458, 'gap-rms-race': 0.018788362668622664}
{'alpha': 0.5, 'beta': 3.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.2791597567716971, 'balanced accuracy': 0.5140860577610968, 'gap-rms-gender': 0.1079175147015811, 'gap-rms-race': 0.003153916157343284}
{'alpha': 0.5, 'beta': 30.0, 'lr': 0.0001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 30.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 30.0, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.1, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.1, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.5, 'beta': 0.3, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.7927031509121062, 'balanced accuracy': 0.7735410964827849, 'gap-rms-gender': 0.17032891738679193, 'gap-rms-race': 0.07853365429804951}
{'alpha': 0.5, 'beta': 100.0, 'lr': 0.1, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.01, 'lr': 0.01, 'lambda': 0.1, 'accuracy': 0.24311774461028193, 'balanced accuracy': 0.5, 'gap-rms-gender': 0.0, 'gap-rms-race': 0.0}
{'alpha': 0.0, 'beta': 0.01, 'lr': 0.001, 'lambda': 0.1, 'accuracy': 0.2517412935323383, 'balanced accuracy': 0.5056967572304996, 'gap-rms-gender': 0.0037684654213531784, 'gap-rms-race': 0.004823026730620342}
