{'epsilon': 0.001, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.8447761, 'test gap-rms-gender': 0.045297775, 'test gap-rms-race': 0.01836129, 'test bal-acc': 0.75037163}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.24521835, 'test gap-rms-gender': 0.0033084434, 'test gap-rms-race': 0.00075143616, 'test bal-acc': 0.5013877}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.8220011, 'test gap-rms-gender': 0.021913834, 'test gap-rms-race': 0.020841256, 'test bal-acc': 0.64441967}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.82587063, 'test gap-rms-gender': 0.1529666, 'test gap-rms-race': 0.05398289, 'test bal-acc': 0.8196832}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.81293535, 'test gap-rms-gender': 0.015514248, 'test gap-rms-race': 0.021833522, 'test bal-acc': 0.621762}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.8123825, 'test gap-rms-gender': 0.12874193, 'test gap-rms-race': 0.05585005, 'test bal-acc': 0.8024385}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.82244337, 'test gap-rms-gender': 0.10859569, 'test gap-rms-race': 0.055763446, 'test bal-acc': 0.8157214}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8308458, 'test gap-rms-gender': 0.03432068, 'test gap-rms-race': 0.01564893, 'test bal-acc': 0.67125285}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.75765616, 'test gap-rms-gender': 0.01226807, 'test gap-rms-race': 0.008327876, 'test bal-acc': 0.5019003}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.38441128, 'test gap-rms-gender': 0.70695, 'test gap-rms-race': 0.10648184, 'test bal-acc': 0.3271014}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.8348259, 'test gap-rms-gender': 0.03965374, 'test gap-rms-race': 0.00845021, 'test bal-acc': 0.6978049}
{'epsilon': 0.1, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.7901603, 'test gap-rms-gender': 0.015055083, 'test gap-rms-race': 0.014585715, 'test bal-acc': 0.5741508}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.85085684, 'test gap-rms-gender': 0.04908484, 'test gap-rms-race': 0.041539147, 'test bal-acc': 0.76658154}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.73908234, 'test gap-rms-gender': 0.43237412, 'test gap-rms-race': 0.05652359, 'test bal-acc': 0.5235853}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 20.0, 'test-acc': 0.8443339, 'test gap-rms-gender': 0.034444075, 'test gap-rms-race': 0.029070534, 'test bal-acc': 0.7295522}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.24543947, 'test gap-rms-gender': 0.0029704256, 'test gap-rms-race': 0.0013626919, 'test bal-acc': 0.50153375}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.75975674, 'test gap-rms-gender': 0.004556061, 'test gap-rms-race': 0.0023018296, 'test bal-acc': 0.50591177}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.7647319, 'test gap-rms-gender': 0.019862963, 'test gap-rms-race': 0.009031889, 'test bal-acc': 0.51629806}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.76727474, 'test gap-rms-gender': 0.007025763, 'test gap-rms-race': 0.0029570407, 'test bal-acc': 0.5215277}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.83173025, 'test gap-rms-gender': 0.06500068, 'test gap-rms-race': 0.050297204, 'test bal-acc': 0.8042615}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 40.0, 'test-acc': 0.26777226, 'test gap-rms-gender': 0.017547136, 'test gap-rms-race': 0.0114524225, 'test bal-acc': 0.5152065}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.8509674, 'test gap-rms-gender': 0.040780034, 'test gap-rms-race': 0.0219898, 'test bal-acc': 0.74813366}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.8283029, 'test gap-rms-gender': 0.060309757, 'test gap-rms-race': 0.004619344, 'test bal-acc': 0.6703447}
{'epsilon': 0.001, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.8273079, 'test gap-rms-gender': 0.06825133, 'test gap-rms-race': 0.016276313, 'test bal-acc': 0.6684527}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.81050307, 'test gap-rms-gender': 0.025254318, 'test gap-rms-race': 0.03335124, 'test bal-acc': 0.61845744}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.7682698, 'test gap-rms-gender': 0.079282, 'test gap-rms-race': 0.018180825, 'test bal-acc': 0.52635217}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.77313435, 'test gap-rms-gender': 0.08476384, 'test gap-rms-race': 0.001184769, 'test bal-acc': 0.53589374}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.75688225, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.83383083, 'test gap-rms-gender': 0.025962971, 'test gap-rms-race': 0.0296756, 'test bal-acc': 0.6934434}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.82741845, 'test gap-rms-gender': 0.09427542, 'test gap-rms-race': 0.04017833, 'test bal-acc': 0.8011044}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.8287452, 'test gap-rms-gender': 0.029899238, 'test gap-rms-race': 0.011036224, 'test bal-acc': 0.6616851}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8354892, 'test gap-rms-gender': 0.059793495, 'test gap-rms-race': 0.046078634, 'test bal-acc': 0.8008797}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.001, 'w_reg': 60.0, 'test-acc': 0.24311775, 'test gap-rms-gender': 0.0, 'test gap-rms-race': 0.0, 'test bal-acc': 0.5}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.7694859, 'test gap-rms-gender': 0.0137562305, 'test gap-rms-race': 0.008797126, 'test bal-acc': 0.52622956}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 100.0, 'test-acc': 0.7606412, 'test gap-rms-gender': 0.010682564, 'test gap-rms-race': 0.0005322653, 'test bal-acc': 0.5077308}
{'epsilon': 0.1, 'lr': 1e-05, 'wlr': 0.01, 'w_reg': 40.0, 'test-acc': 0.4299613, 'test gap-rms-gender': 0.70392305, 'test gap-rms-race': 0.1080239, 'test bal-acc': 0.3568833}
{'epsilon': 0.01, 'lr': 1e-05, 'wlr': 1e-05, 'w_reg': 40.0, 'test-acc': 0.82343835, 'test gap-rms-gender': 0.014855231, 'test gap-rms-race': 0.003583685, 'test bal-acc': 0.6483016}
{'epsilon': 0.01, 'lr': 0.001, 'wlr': 0.0001, 'w_reg': 40.0, 'test-acc': 0.8384743, 'test gap-rms-gender': 0.05832057, 'test gap-rms-race': 0.017418254, 'test bal-acc': 0.7182729}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.001, 'w_reg': 80.0, 'test-acc': 0.82166946, 'test gap-rms-gender': 0.04204983, 'test gap-rms-race': 0.0085109165, 'test bal-acc': 0.64450926}
{'epsilon': 0.001, 'lr': 1e-05, 'wlr': 0.0001, 'w_reg': 60.0, 'test-acc': 0.84201217, 'test gap-rms-gender': 0.061331786, 'test gap-rms-race': 0.026785217, 'test bal-acc': 0.77370334}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 100.0, 'test-acc': 0.8347153, 'test gap-rms-gender': 0.11610156, 'test gap-rms-race': 0.057337824, 'test bal-acc': 0.8113267}
{'epsilon': 0.01, 'lr': 0.0001, 'wlr': 1e-05, 'w_reg': 60.0, 'test-acc': 0.7913765, 'test gap-rms-gender': 0.013069011, 'test gap-rms-race': 0.0136483, 'test bal-acc': 0.5720217}
{'epsilon': 0.001, 'lr': 0.0001, 'wlr': 0.01, 'w_reg': 80.0, 'test-acc': 0.85008293, 'test gap-rms-gender': 0.08294631, 'test gap-rms-race': 0.018555973, 'test bal-acc': 0.7446169}
{'epsilon': 0.1, 'lr': 0.0001, 'wlr': 0.0001, 'w_reg': 100.0, 'test-acc': 0.7569928, 'test gap-rms-gender': 0.0022306207, 'test gap-rms-race': 0.00035426192, 'test bal-acc': 0.5002274}
